data,dt,ts
"{'location': 'West Bank and Gaza', 'confirmed': 6566, 'deaths': 39, 'recovered': 1084, 'active': 5443}",07-14-2020,1594684800
"{'location': 'Guinea', 'confirmed': 6141, 'deaths': 37, 'recovered': 4862, 'active': 1242}",07-14-2020,1594684800
"{'location': 'Gabon', 'confirmed': 6026, 'deaths': 46, 'recovered': 3475, 'active': 2505}",07-14-2020,1594684800
"{'location': 'Mauritania', 'confirmed': 5446, 'deaths': 147, 'recovered': 2501, 'active': 2798}",07-14-2020,1594684800
"{'location': 'Kosovo', 'confirmed': 5118, 'deaths': 108, 'recovered': 2370, 'active': 2640}",07-14-2020,1594684800
"{'location': 'Madagascar', 'confirmed': 5080, 'deaths': 37, 'recovered': 2494, 'active': 2549}",07-14-2020,1594684800
"{'location': 'Djibouti', 'confirmed': 4977, 'deaths': 56, 'recovered': 4729, 'active': 192}",07-14-2020,1594684800
"{'location': 'Luxembourg', 'confirmed': 4956, 'deaths': 111, 'recovered': 4183, 'active': 662}",07-14-2020,1594684800
"{'location': 'Central African Republic', 'confirmed': 4321, 'deaths': 53, 'recovered': 1208, 'active': 3060}",07-14-2020,1594684800
"{'location': 'Hungary', 'confirmed': 4247, 'deaths': 595, 'recovered': 3073, 'active': 579}",07-14-2020,1594684800
"{'location': 'Greece', 'confirmed': 3826, 'deaths': 193, 'recovered': 1374, 'active': 2259}",07-14-2020,1594684800
"{'location': 'Croatia', 'confirmed': 3775, 'deaths': 119, 'recovered': 2514, 'active': 1142}",07-14-2020,1594684800
"{'location': 'Albania', 'confirmed': 3571, 'deaths': 95, 'recovered': 2014, 'active': 1462}",07-14-2020,1594684800
"{'location': 'Thailand', 'confirmed': 3220, 'deaths': 58, 'recovered': 3090, 'active': 72}",07-14-2020,1594684800
"{'location': 'Somalia', 'confirmed': 3072, 'deaths': 93, 'recovered': 1343, 'active': 1636}",07-14-2020,1594684800
"{'location': 'Equatorial Guinea', 'confirmed': 3071, 'deaths': 51, 'recovered': 842, 'active': 2178}",07-14-2020,1594684800
"{'location': 'Paraguay', 'confirmed': 2980, 'deaths': 25, 'recovered': 1293, 'active': 1662}",07-14-2020,1594684800
"{'location': 'Nicaragua', 'confirmed': 2846, 'deaths': 91, 'recovered': 1993, 'active': 762}",07-14-2020,1594684800
"{'location': 'Maldives', 'confirmed': 2762, 'deaths': 13, 'recovered': 2290, 'active': 459}",07-14-2020,1594684800
"{'location': 'Sri Lanka', 'confirmed': 2646, 'deaths': 11, 'recovered': 1981, 'active': 654}",07-14-2020,1594684800
"{'location': 'Malawi', 'confirmed': 2430, 'deaths': 39, 'recovered': 747, 'active': 1644}",07-14-2020,1594684800
"{'location': 'Cuba', 'confirmed': 2428, 'deaths': 87, 'recovered': 2268, 'active': 73}",07-14-2020,1594684800
"{'location': 'Lebanon', 'confirmed': 2419, 'deaths': 36, 'recovered': 1423, 'active': 960}",07-14-2020,1594684800
"{'location': 'Mali', 'confirmed': 2412, 'deaths': 121, 'recovered': 1730, 'active': 561}",07-14-2020,1594684800
"{'location': 'South Sudan', 'confirmed': 2148, 'deaths': 41, 'recovered': 333, 'active': 1774}",07-14-2020,1594684800
"{'location': 'Congo (Brazzaville)', 'confirmed': 2028, 'deaths': 47, 'recovered': 589, 'active': 1392}",07-14-2020,1594684800
"{'location': 'Estonia', 'confirmed': 2014, 'deaths': 69, 'recovered': 1895, 'active': 50}",07-14-2020,1594684800
"{'location': 'Slovakia', 'confirmed': 1902, 'deaths': 28, 'recovered': 1493, 'active': 381}",07-14-2020,1594684800
"{'location': 'Iceland', 'confirmed': 1900, 'deaths': 10, 'recovered': 1871, 'active': 19}",07-14-2020,1594684800
"{'location': 'Zambia', 'confirmed': 1895, 'deaths': 42, 'recovered': 1412, 'active': 441}",07-14-2020,1594684800
"{'location': 'Lithuania', 'confirmed': 1874, 'deaths': 79, 'recovered': 1571, 'active': 224}",07-14-2020,1594684800
"{'location': 'Slovenia', 'confirmed': 1849, 'deaths': 111, 'recovered': 1473, 'active': 265}",07-14-2020,1594684800
"{'location': 'Guinea-Bissau', 'confirmed': 1842, 'deaths': 26, 'recovered': 773, 'active': 1043}",07-14-2020,1594684800
"{'location': 'Cabo Verde', 'confirmed': 1698, 'deaths': 19, 'recovered': 748, 'active': 931}",07-14-2020,1594684800
"{'location': 'Sierra Leone', 'confirmed': 1642, 'deaths': 63, 'recovered': 1175, 'active': 404}",07-14-2020,1594684800
"{'location': 'New Zealand', 'confirmed': 1545, 'deaths': 22, 'recovered': 1498, 'active': 25}",07-14-2020,1594684800
"{'location': 'Libya', 'confirmed': 1512, 'deaths': 40, 'recovered': 367, 'active': 1105}",07-14-2020,1594684800
"{'location': 'Yemen', 'confirmed': 1498, 'deaths': 424, 'recovered': 675, 'active': 399}",07-14-2020,1594684800
"{'location': 'Eswatini', 'confirmed': 1389, 'deaths': 20, 'recovered': 688, 'active': 681}",07-14-2020,1594684800
"{'location': 'Rwanda', 'confirmed': 1378, 'deaths': 4, 'recovered': 710, 'active': 664}",07-14-2020,1594684800
"{'location': 'Benin', 'confirmed': 1378, 'deaths': 26, 'recovered': 557, 'active': 795}",07-14-2020,1594684800
"{'location': 'Tunisia', 'confirmed': 1302, 'deaths': 50, 'recovered': 1082, 'active': 170}",07-14-2020,1594684800
"{'location': 'Montenegro', 'confirmed': 1287, 'deaths': 24, 'recovered': 330, 'active': 933}",07-14-2020,1594684800
"{'location': 'Mozambique', 'confirmed': 1219, 'deaths': 9, 'recovered': 369, 'active': 841}",07-14-2020,1594684800
"{'location': 'Jordan', 'confirmed': 1183, 'deaths': 10, 'recovered': 1008, 'active': 165}",07-14-2020,1594684800
"{'location': 'Latvia', 'confirmed': 1174, 'deaths': 31, 'recovered': 1019, 'active': 124}",07-14-2020,1594684800
"{'location': 'Niger', 'confirmed': 1099, 'deaths': 68, 'recovered': 992, 'active': 39}",07-14-2020,1594684800
"{'location': 'Burkina Faso', 'confirmed': 1036, 'deaths': 53, 'recovered': 869, 'active': 114}",07-14-2020,1594684800
"{'location': 'Zimbabwe', 'confirmed': 1034, 'deaths': 19, 'recovered': 343, 'active': 672}",07-14-2020,1594684800
"{'location': 'Uganda', 'confirmed': 1029, 'deaths': 0, 'recovered': 977, 'active': 52}",07-14-2020,1594684800
"{'location': 'Liberia', 'confirmed': 1024, 'deaths': 51, 'recovered': 439, 'active': 534}",07-14-2020,1594684800
"{'location': 'Cyprus', 'confirmed': 1022, 'deaths': 19, 'recovered': 839, 'active': 164}",07-14-2020,1594684800
"{'location': 'Georgia', 'confirmed': 995, 'deaths': 15, 'recovered': 857, 'active': 123}",07-14-2020,1594684800
"{'location': 'Uruguay', 'confirmed': 989, 'deaths': 31, 'recovered': 903, 'active': 55}",07-14-2020,1594684800
"{'location': 'Chad', 'confirmed': 880, 'deaths': 75, 'recovered': 792, 'active': 13}",07-14-2020,1594684800
"{'location': 'Namibia', 'confirmed': 861, 'deaths': 1, 'recovered': 28, 'active': 832}",07-14-2020,1594684800
"{'location': 'Andorra', 'confirmed': 858, 'deaths': 52, 'recovered': 803, 'active': 3}",07-14-2020,1594684800
"{'location': 'Suriname', 'confirmed': 780, 'deaths': 18, 'recovered': 526, 'active': 236}",07-14-2020,1594684800
"{'location': 'Jamaica', 'confirmed': 759, 'deaths': 10, 'recovered': 628, 'active': 121}",07-14-2020,1594684800
"{'location': 'Sao Tome and Principe', 'confirmed': 732, 'deaths': 14, 'recovered': 286, 'active': 432}",07-14-2020,1594684800
"{'location': 'Togo', 'confirmed': 721, 'deaths': 15, 'recovered': 517, 'active': 189}",07-14-2020,1594684800
"{'location': 'Diamond Princess', 'confirmed': 712, 'deaths': 13, 'recovered': 651, 'active': 48}",07-14-2020,1594684800
"{'location': 'San Marino', 'confirmed': 699, 'deaths': 42, 'recovered': 656, 'active': 1}",07-14-2020,1594684800
"{'location': 'Malta', 'confirmed': 674, 'deaths': 9, 'recovered': 660, 'active': 5}",07-14-2020,1594684800
"{'location': 'Angola', 'confirmed': 525, 'deaths': 26, 'recovered': 118, 'active': 381}",07-14-2020,1594684800
"{'location': 'Tanzania', 'confirmed': 509, 'deaths': 21, 'recovered': 183, 'active': 305}",07-14-2020,1594684800
"{'location': 'Taiwan*', 'confirmed': 451, 'deaths': 7, 'recovered': 438, 'active': 6}",07-14-2020,1594684800
"{'location': 'Syria', 'confirmed': 417, 'deaths': 19, 'recovered': 136, 'active': 262}",07-14-2020,1594684800
"{'location': 'Botswana', 'confirmed': 399, 'deaths': 1, 'recovered': 38, 'active': 360}",07-14-2020,1594684800
"{'location': 'Vietnam', 'confirmed': 373, 'deaths': 0, 'recovered': 352, 'active': 21}",07-14-2020,1594684800
"{'location': 'Mauritius', 'confirmed': 342, 'deaths': 10, 'recovered': 330, 'active': 2}",07-14-2020,1594684800
"{'location': 'Burma', 'confirmed': 336, 'deaths': 6, 'recovered': 261, 'active': 69}",07-14-2020,1594684800
"{'location': 'Comoros', 'confirmed': 317, 'deaths': 7, 'recovered': 296, 'active': 14}",07-14-2020,1594684800
"{'location': 'Guyana', 'confirmed': 300, 'deaths': 17, 'recovered': 155, 'active': 128}",07-14-2020,1594684800
"{'location': 'Burundi', 'confirmed': 269, 'deaths': 1, 'recovered': 207, 'active': 61}",07-14-2020,1594684800
"{'location': 'Lesotho', 'confirmed': 245, 'deaths': 3, 'recovered': 33, 'active': 209}",07-14-2020,1594684800
"{'location': 'Mongolia', 'confirmed': 243, 'deaths': 0, 'recovered': 204, 'active': 39}",07-14-2020,1594684800
"{'location': 'Eritrea', 'confirmed': 232, 'deaths': 0, 'recovered': 107, 'active': 125}",07-14-2020,1594684800
"{'location': 'Cambodia', 'confirmed': 165, 'deaths': 0, 'recovered': 133, 'active': 32}",07-14-2020,1594684800
"{'location': 'Brunei', 'confirmed': 141, 'deaths': 3, 'recovered': 138, 'active': 0}",07-14-2020,1594684800
"{'location': 'Trinidad and Tobago', 'confirmed': 133, 'deaths': 8, 'recovered': 124, 'active': 1}",07-14-2020,1594684800
"{'location': 'Bahamas', 'confirmed': 113, 'deaths': 11, 'recovered': 91, 'active': 11}",07-14-2020,1594684800
